sentiment,text,user
"negative","@FoxNews consumers! Your grestest concern was a whole lot of money for yourself, and you ARE GUILTY of INSIDER TRADING, so I hope you have","scorpion_here"
"neutral","RT @m2jamsheer: watch\nhttps://t.co/NkRm9gzl9H\n\n#24hpujadasِ \n#LeMansRE2017ِ \n#Verseauِ \n#Scorpionِ \n#Daechِ \n#Sagittaireِ \n#Bélierِ \n#Lionِ…","Kald1oo"
"neutral","RT @m2jamsheer: watch\nhttps://t.co/NkRm9gzl9H\n\n#24hpujadasِ \n#LeMansRE2017ِ \n#Verseauِ \n#Scorpionِ \n#Daechِ \n#Sagittaireِ \n#Bélierِ \n#Lionِ…","kuniv_ff"
"neutral","RT @m2jamsheer: watch\nhttps://t.co/NkRm9gzl9H\n\n#24hpujadasِ \n#LeMansRE2017ِ \n#Verseauِ \n#Scorpionِ \n#Daechِ \n#Sagittaireِ \n#Bélierِ \n#Lionِ…","michowo123"
"neutral","RT @m2jamsheer: watch\nhttps://t.co/NkRm9gzl9H\n\n#24hpujadasِ \n#LeMansRE2017ِ \n#Verseauِ \n#Scorpionِ \n#Daechِ \n#Sagittaireِ \n#Bélierِ \n#Lionِ…","sabiaalharbi"
"neutral","RT @m2jamsheer: watch\nhttps://t.co/NkRm9gzl9H\n\n#24hpujadasِ \n#LeMansRE2017ِ \n#Verseauِ \n#Scorpionِ \n#Daechِ \n#Sagittaireِ \n#Bélierِ \n#Lionِ…","garaboncuuk"
"neutral","RT @m2jamsheer: watch\nhttps://t.co/NkRm9gzl9H\n\n#24hpujadasِ \n#LeMansRE2017ِ \n#Verseauِ \n#Scorpionِ \n#Daechِ \n#Sagittaireِ \n#Bélierِ \n#Lionِ…","ozil_or"
"neutral","watch\nhttps://t.co/NkRm9gzl9H\n\n#24hpujadasِ \n#LeMansRE2017ِ \n#Verseauِ \n#Scorpionِ \n#Daechِ \n#Sagittaireِ \n#Bélierِ \n#Lionِ \n#Balanceِ","m2jamsheer"
"neutral","Goblin &amp; Scorpion Club\nWith theatre and slave trading.","Flatulent_Pony"
